code,title,prereq,terms,hours,optional,description,instructor,section_head,offered_to
6.6000,CMOS Analog and Mixed-Signal Circuit Design,6.2090,G (Spring),3-0-9 units,,"A detailed exposition of the principles involved in designing and optimizing analog and mixed-signal circuits in CMOS technologies. Small-signal and large-signal models. Systemic methodology for device sizing and biasing. Basic circuit building blocks. Operational amplifier design. Principles of switched capacitor networks including switched-capacitor and continuous-time integrated filters. Basic and advanced A/D and D/A converters, delta-sigma modulators, RF and other signal processing circuits. Design projects on op amps and subsystems are a required part of the subject.","H. S. Lee, R. Han",Circuits & Applications,G
6.6010,Analysis and Design of Digital Integrated Circuits,6.1910 and ( 6.2080 or 6.2500 ),G (Fall),3-3-6 units,,"Device and circuit level optimization of digital building blocks. Circuit design styles for logic, arithmetic, and sequential blocks. Estimation and minimization of energy consumption. Interconnect models and parasitics, device sizing and logical effort, timing issues (clock skew and jitter), and active clock distribution techniques. Memory architectures, circuits (sense amplifiers), and devices. Evaluation of how design choices affect tradeoffs across key metrics including energy consumption, speed, robustness, and cost. Extensive use of modern design flow and EDA/CAD tools for the analysis and design of digital building blocks and digital VLSI design for labs and design projects","V. Sze, A. P. Chandrakasan",Circuits & Applications,G
6.6020,High-Frequency Integrated Circuits,6.2080,G (Fall),3-3-6 units,,"Principles and techniques of high-speed integrated circuits used in wireless/wireline data links and remote sensing. On-chip passive component design of inductors, capacitors, and antennas. Analysis of distributed effects, such as transmission line modeling, S-parameters, and Smith chart. Transceiver architectures and circuit blocks, which include low-noise amplifiers, mixers, voltage-controlled oscillators, power amplifiers, and frequency dividers. Involves IC/EM simulation and laboratory projects.",R. Han,Circuits & Applications,G
6.2200,Electric Energy Systems,6.2000,U (Fall),4-0-8 units,,"Analysis and design of modern energy conversion and delivery systems. Develops a solid foundation in electromagnetic phenomena with a focus on electrical energy distribution, electro-mechanical energy conversion (motors and generators), and electrical-to-electrical energy conversion (DC-DC, DC-AC power conversion). Students apply the material covered to consider critical challenges associated with global energy systems, with particular examples related to the electrification of transport and decarbonization of the grid.","R. Ram, J. H. Lang, M. Ilic, D. J. Perreault",Energy,U
6.2210,"Electromagnetic Fields, Forces and Motion",Physics II (GIR) and 18.03,U (Fall),4-0-8 units,,"Study of electromagnetics and electromagnetic energy conversion leading to an understanding of devices, including electromagnetic sensors, actuators, motors and generators. Quasistatic Maxwell's equations and the Lorentz force law. Studies of the quasistatic fields and their sources through solutions of Poisson's and Laplace's equations. Boundary conditions and multi-region boundary-value problems. Steady-state conduction, polarization, and magnetization. Charge conservation and relaxation, and magnetic induction and diffusion. Extension to moving materials. Electric and magnetic forces and force densities derived from energy, and stress tensors. Extensive use of engineering examples. Students taking graduate version complete additional assignments.",J. H. Lang,Energy,U
6.2220,Power Electronics Laboratory,6.2000 or 6.3100,U (Fall),3-6-3 units. Institute LAB,,"Introduces the design and construction of power electronic circuits and motor drives. Laboratory exercises include the construction of drive circuitry for an electric go-cart, flash strobes, computer power supplies, three-phase inverters for AC motors, and resonant drives for lamp ballasts and induction heating. Basic electric machines introduced include DC, induction, and permanent magnet motors, with drive considerations. Provides instruction in written and oral communication. Students taking independent inquiry version 6.2221 expand the scope of their laboratory project.",S. B. Leeb,Energy,U
6.2221,Power Electronics Laboratory - Independent Inquiry,6.2000 or 6.3000,U (Fall),3-9-3 units,,"Introduces the design and construction of power electronic circuits and motor drives. Laboratory exercises include the construction of drive circuitry for an electric go-cart, flash strobes, computer power supplies, three-phase inverters for AC motors, and resonant drives for lamp ballasts and induction heating. Basic electric machines introduced include DC, induction, and permanent magnet motors, with drive considerations. Provides instruction in written and oral communication. To satisfy the independent inquiry component of this subject, students expand the scope of their laboratory project.",S. B. Leeb,Energy,U
6.2222,Power Electronics Laboratory,Permission of instructor,G (Fall),3-9-3 units,,"Hands-on introduction to the design and construction of power electronic circuits and motor drives. Laboratory exercises (shared with 6.131 and 6.1311) include the construction of drive circuitry for an electric go-cart, flash strobes, computer power supplies, three-phase inverters for AC motors, and resonant drives for lamp ballasts and induction heating. Basic electric machines introduced including DC, induction, and permanent magnet motors, with drive considerations. Students taking graduate version complete additional assignments and an extended final project.",S. B. Leeb,Energy,G
6.6210,"Electromagnetic Fields, Forces and Motion",Physics II (GIR) and 18.03,G (Fall),4-0-8 units,,"Study of electromagnetics and electromagnetic energy conversion leading to an understanding of devices, including electromagnetic sensors, actuators, motors and generators. Quasistatic Maxwell's equations and the Lorentz force law. Studies of the quasistatic fields and their sources through solutions of Poisson's and Laplace's equations. Boundary conditions and multi-region boundary-value problems. Steady-state conduction, polarization, and magnetization. Charge conservation and relaxation, and magnetic induction and diffusion. Extension to moving materials. Electric and magnetic forces and force densities derived from energy, and stress tensors. Extensive use of engineering examples. Students taking graduate version complete additional assignments.",J. H. Lang,Energy,G
6.6220,Power Electronics,6.2500,G (Spring),3-0-9 units,,"The application of electronics to energy conversion and control. Modeling, analysis, and control techniques. Design of power circuits including inverters, rectifiers, and dc-dc converters. Analysis and design of magnetic components and filters. Characteristics of power semiconductor devices. Numerous application examples, such as motion control systems, power supplies, and radio-frequency power amplifiers.",D. J. Perreault,Energy,G
6.6280,Electric Machines,"6.2200 ,  6.690, or permission of instructor",G (Fall) Not offered regularly; consult department,3-0-9 units,,"Treatment of electromechanical transducers, rotating and linear electric machines. Lumped-parameter electromechanics. Power flow using Poynting's theorem, force estimation using the Maxwell stress tensor and Principle of virtual work. Development of analytical techniques for predicting device characteristics: energy conversion density, efficiency; and of system interaction characteristics: regulation, stability, controllability, and response. Use of electric machines in drive systems. Problems taken from current research.","J. L. Kirtley, Jr.",Energy,G
6.2300,Electromagnetics Waves and Applications,Calculus II (GIR) and Physics II (GIR),U (Spring),3-5-4 units,,"Analysis and design of modern applications that employ electromagnetic phenomena for signals and power transmission in RF, microwaves, optical and wireless communication systems. Fundamentals include dynamic solutions for Maxwell's equations; electromagnetic power and energy, waves in media, metallic and dielectric waveguides, radiation, and diffraction; resonance; filters; and acoustic analogs. Lab activities range from building to testing of devices and systems (e.g., antenna arrays, radars, dielectric waveguides). Students work in teams on self-proposed maker-style design projects with a focus on fostering creativity, teamwork, and debugging skills. 6.2000 and 6.3000 are recommended but not required.","K. O'Brien, L. Daniel","Electromagnetics, Photonics, and Quantum",U
6.2370,Modern Optics Project Laboratory,6.3000,U (Fall),3-5-4 units. Institute LAB,,"Lectures, laboratory exercises and projects on optical signal generation, transmission, detection, storage, processing and display. Topics include polarization properties of light; reflection and refraction; coherence and interference; Fraunhofer and Fresnel diffraction; holography; Fourier optics; coherent and incoherent imaging and signal processing systems; optical properties of materials; lasers and LEDs; electro-optic and acousto-optic light modulators; photorefractive and liquid-crystal light modulation; display technologies; optical waveguides and fiber-optic communication systems; photodetectors. Students may use this subject to find an advanced undergraduate project. Students engage in extensive oral and written communication exercises. Recommended prerequisite: 8.03 .",C. Warde,"Electromagnetics, Photonics, and Quantum",U
6.2400,Introduction to Quantum Systems Engineering,6.2300 and ( 18.06 or 18.C06[J] ),U (Fall),4-2-6 units,,"Introduction to the quantum mechanics needed to engineer quantum systems for computation, communication, and sensing. Topics include: motivation for quantum engineering, qubits and quantum gates, rules of quantum mechanics, mathematical background, quantum electrical circuits and other physical quantum systems, harmonic and anharmonic oscillators, measurement, the Schrödinger equation, noise, entanglement, benchmarking, quantum communication, and quantum algorithms. No prior experience with quantum mechanics is assumed.","K. Berggren, A. Natarajan, K. O'Brien","Electromagnetics, Photonics, and Quantum",U
6.2410,Quantum Engineering Platforms,"6.2400 , 6.6400 , 18.435[J] , or ( 8.04 and 8.05 )",U (Spring),1-5-6 units,,"Provides practical knowledge and quantum engineering experience with several physical platforms for quantum computation, communication, and sensing, including photonics, superconducting qubits, and trapped ions. Labs include both a hardware component -- to gain experience with challenges, design, and non-idealities -- and a cloud component to run algorithms on state of the art commercial systems. Use entangled photons to communicate securely (quantum key distribution). Run quantum algorithms on trapped ion and superconducting quantum computers.",D. Englund,"Electromagnetics, Photonics, and Quantum",U
6.6300,Electromagnetics,Physics II (GIR) and 6.3000,G (Fall),4-0-8 units,,"Explores electromagnetic phenomena in modern applications, including wireless and optical communications, circuits, computer interconnects and peripherals, microwave communications and radar, antennas, sensors, micro-electromechanical systems, and power generation and transmission. Fundamentals include quasistatic and dynamic solutions to Maxwell's equations; waves, radiation, and diffraction; coupling to media and structures; guided and unguided waves; modal expansions; resonance; acoustic analogs; and forces, power, and energy.","Q. Hu, J. Notaros","Electromagnetics, Photonics, and Quantum",G
6.6310,Optics and Photonics,6.2300 or 8.03,G (Fall),3-0-9 units,,"Introduction to fundamental concepts and techniques of optics, photonics, and fiber optics, aimed at developing skills for independent research. Topics include: Review of Maxwell's equations, light propagation, reflection and transmission, dielectric mirrors and filters. Scattering matrices, interferometers, and interferometric measurement. Fresnel and Fraunhoffer diffraction theory. Lenses, optical imaging systems, and software design tools. Gaussian beams, propagation and resonator design. Optical waveguides, optical fibers and photonic devices for encoding and detection. Discussion of research operations / funding and professional development topics. The course reviews and introduces mathematical methods and techniques, which are fundamental in optics and photonics, but also useful in many other engineering specialties.",J. G. Fujimoto,"Electromagnetics, Photonics, and Quantum",G
6.6330,Fundamentals of Photonics,"2.71 , 6.2300 , or 8.07",Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Fall),3-0-9 units,,"Covers the fundamentals of optics and the interaction of light and matter, leading to devices such as light emitting diodes, optical amplifiers, and lasers. Topics include classical ray, wave, beam, and Fourier optics; Maxwell's electromagnetic waves; resonators; quantum theory of photons; light-matter interaction; laser amplification; lasers; and semiconductors optoelectronics. Students taking graduate version complete additional assignments.",D. R. Englund,"Electromagnetics, Photonics, and Quantum",G
6.6331,Fundamentals of Photonics,"2.71 , 6.2300 , or 8.07",Acad Year 2024-2025: Not offered Acad Year 2025-2026: U (Fall),3-0-9 units,,"Covers the fundamentals of optics and the interaction of light and matter, leading to devices such as light emitting diodes, optical amplifiers, and lasers. Topics include classical ray, wave, beam, and Fourier optics; Maxwell's electromagnetic waves; resonators; quantum theory of photons; light-matter interaction; laser amplification; lasers; and semiconductors optoelectronics. Students taking graduate version complete additional assignments.",D. R. Englund,"Electromagnetics, Photonics, and Quantum",U
6.6340[J],Nonlinear Optics,6.2300 or 8.03,G (Spring),3-0-9 units,,"Techniques of nonlinear optics with emphasis on fundamentals for research in optics, photonics, spectroscopy, and ultrafast science. Topics include: electro-optic modulators and devices, sum and difference frequency generation, and parametric conversion. Nonlinear propagation effects in optical fibers including self-phase modulation, pulse compression, solitons, communication, and femtosecond fiber lasers. Review of quantum mechanics, interaction of light with matter, laser gain and operation, density matrix techniques, perturbation theory, diagrammatic methods, nonlinear spectroscopies, ultrafast lasers and measurements. Discussion of research operations and funding and professional development topics. Introduces fundamental methods and techniques needed for independent research in advanced optics and photonics, but useful in many other engineering and physics disciplines.",J. G. Fujimoto,"Electromagnetics, Photonics, and Quantum",G
6.6370,"Optical Imaging Devices, and Systems",6.3000,G (Fall),3-0-9 units,,"Principles of operation and applications of optical imaging devices and systems (includes optical signal generation, transmission, detection, storage, processing and display). Topics include review of the basic properties of electromagnetic waves; coherence and interference; diffraction and holography; Fourier optics; coherent and incoherent imaging and signal processing systems; optical properties of materials; lasers and LEDs; electro-optic and acousto-optic light modulators; photorefractive and liquid-crystal light modulation; spatial light modulators and displays; near-eye and projection displays, holographic and other 3-D display schemes, photodetectors; 2-D and 3-D optical storage technologies; adaptive optical systems; role of optics in next-generation computers. Requires a research paper on a specific contemporary optical imaging topic. Recommended prerequisite: 8.03 .",C. Warde,"Electromagnetics, Photonics, and Quantum",G
6.6400,Applied Quantum and Statistical Physics,18.06,G (Fall),4-0-8 units,,"Elementary quantum mechanics and statistical physics. Introduces applied quantum physics. Emphasizes experimental basis for quantum mechanics. Applies Schrodinger's equation to the free particle, tunneling, the harmonic oscillator, and hydrogen atom. Variational methods. Elementary statistical physics; Fermi-Dirac, Bose-Einstein, and Boltzmann distribution functions. Simple models for metals, semiconductors, and devices such as electron microscopes, scanning tunneling microscope, thermonic emitters, atomic force microscope, and more. Some familiarity with continuous time Fourier transforms recommended.",P. L. Hagelstein,"Electromagnetics, Photonics, and Quantum",G
6.6410[J],Quantum Computation,"8.05 , 18.06 , 18.700 , 18.701 , or 18.C06[J]",G (Fall),3-0-9 units,,See description under subject 18.435[J] .,"I. Chuang, A. Harrow, P. Shor","Electromagnetics, Photonics, and Quantum",G
6.6420[J],Quantum Information Science,18.435[J],G (Spring),3-0-9 units,,See description under subject 8.371[J] .,"I. Chuang, A. Harrow","Electromagnetics, Photonics, and Quantum",G
6.2500,Nanoelectronics and Computing Systems,6.2000,U (Spring),4-0-8 units,,"Studies interaction between materials, semiconductor physics, electronic devices, and computing systems. Develops intuition of how transistors operate. Topics range from introductory semiconductor physics to modern state-of-the-art nano-scale devices. Considers how innovations in devices have driven historical progress in computing, and explores ideas for further improvements in devices and computing. Students apply material to understand how building improved computing systems requires knowledge of devices, and how making the correct device requires knowledge of computing systems. Includes a design project for practical application of concepts, and labs for experience building silicon transistors and devices.","A. I. Akinwande, J. Kong, T. Palacios, M. Shulaker",Nanoelectronics & Nanotechnology,U
6.2530,Introduction to Nanoelectronics,6.3000,U (Fall) Not offered regularly; consult department,4-0-8 units,,"Transistors at the nanoscale. Quantization, wavefunctions, and Schrodinger's equation. Introduction to electronic properties of molecules, carbon nanotubes, and crystals. Energy band formation and the origin of metals, insulators and semiconductors. Ballistic transport, Ohm's law, ballistic versus traditional MOSFETs, fundamental limits to computation.",M. A. Baldo,Nanoelectronics & Nanotechnology,U
6.2532,Nanoelectronics,6.3000,G (Fall) Not offered regularly; consult department,4-0-8 units,,"Meets with undergraduate subject 6.2530 , but requires the completion of additional/different homework assignments and or projects. See subject description under 6.2530 .",M. A. Baldo,Nanoelectronics & Nanotechnology,G
6.2540,Nanotechnology: From Atoms to Systems,Physics II (GIR),U (Fall),2-3-7 units,,"Introduces the fundamentals of applied quantum mechanics, materials science, and fabrication skills needed to design, engineer, and build emerging nanodevices with diverse applications in energy, memory, display, communications, and sensing. Focuses on the application and outlines the full progression from the fundamentals to the implemented device and functional technology. Closely integrates lectures with design-oriented laboratory modules.","F. Niroui, R. Ram, L. Liu, T. Palacios",Nanoelectronics & Nanotechnology,U
6.2600[J],Micro/Nano Processing Technology,"Calculus II (GIR) , Chemistry (GIR) , Physics II (GIR) , or permission of instructor",U (Spring),3-4-5 units,,"Introduces the theory and technology of micro/nano fabrication. Includes lectures and laboratory sessions on processing techniques: wet and dry etching, chemical and physical deposition, lithography, thermal processes, packaging, and device and materials characterization. Homework uses process simulation tools to build intuition about higher order effects. Emphasizes interrelationships between material properties and processing, device structure, and the electrical, mechanical, optical, chemical or biological behavior of devices. Students fabricate solar cells, and a choice of MEMS cantilevers or microfluidic mixers. Students formulate their own device idea, either based on cantilevers or mixers, then implement and test their designs in the lab. Students engage in extensive written and oral communication exercises. Course provides background for research work related to micro/nano fabrication. Enrollment limited.","J. del Alamo, J. Michel, J. Scholvin",Nanoelectronics & Nanotechnology,U
6.6500[J],Integrated Microelectronic Devices,3.42 or 6.2500,G (Fall),4-0-8 units,,"Covers physics of microelectronic semiconductor devices for integrated circuit applications. Topics include semiconductor fundamentals, p-n junction, metal-oxide semiconductor structure, metal-semiconductor junction, MOS field-effect transistor, and bipolar junction transistor.  Emphasizes physical understanding of device operation through energy band diagrams and short-channel MOSFET device design and modern device scaling. Familiarity with MATLAB recommended.","J. A. del Alamo, H. L. Tuller",Nanoelectronics & Nanotechnology,G
6.6510,Physics for Solid-State Applications,6.2300 and 6.6400,G (Spring),5-0-7 units,,"Classical and quantum models of electrons and lattice vibrations in solids, emphasizing physical models for elastic properties, electronic transport, and heat capacity. Crystal lattices, electronic energy band structures, phonon dispersion relations, effective mass theorem, semiclassical equations of motion, electron scattering and semiconductor optical properties. Band structure and transport properties of selected semiconductors. Connection of quantum theory of solids with quasi-Fermi levels and Boltzmann transport used in device modeling.","Q. Hu, R. Ram",Nanoelectronics & Nanotechnology,G
6.6520,Semiconductor Optoelectronics: Theory and Design,6.2500 and 6.6400,Acad Year 2024-2025: G (Spring) Acad Year 2025-2026: Not offered,3-0-9 units,,"Focuses on the physics of the interaction of photons with semiconductor materials. Uses the band theory of solids to calculate the absorption and gain of semiconductor media; and uses rate equation formalism to develop the concepts of laser threshold, population inversion, and modulation response. Presents theory and design for photodetectors, solar cells, modulators, amplifiers, and lasers. Introduces noise models for semiconductor devices, and applications of optoelectronic devices to fiber optic communications.",R. J. Ram,Nanoelectronics & Nanotechnology,G
6.6530,Physics of Solids,6.6510 or 8.231,G (Fall) Not offered regularly; consult department,4-0-8 units,,"Continuation of 6.730 emphasizing applications-related physical issues in solids. Topics include: electronic structure and energy band diagrams of semiconductors, metals, and insulators; Fermi surfaces; dynamics of electrons under electric and magnetic fields; classical diffusive transport phenomena such as electrical and thermal conduction and thermoelectric phenomena; quantum transport in tunneling and ballistic devices; optical properties of metals, semiconductors, and insulators; impurities and excitons; photon-lattice interactions; Kramers-Kronig relations; optoelectronic devices based on interband and intersubband transitions; magnetic properties of solids; exchange energy and magnetic ordering; magneto-oscillatory phenomena; quantum Hall effect; superconducting phenomena and simple models.",Q. Hu,Nanoelectronics & Nanotechnology,G
6.6600[J],Nanostructure Fabrication,"2.710 , 6.2370 , 6.2600[J] , or permission of instructor",G (Spring),4-0-8 units,,"Describes current techniques used to analyze and fabricate nanometer-length-scale structures and devices. Emphasizes imaging and patterning of nanostructures, including fundamentals of optical, electron (scanning, transmission, and tunneling), and atomic-force microscopy; optical, electron, ion, and nanoimprint lithography, templated self-assembly, and resist technology. Surveys substrate characterization and preparation, facilities, and metrology requirements for nanolithography. Addresses nanodevice processing methods, such as liquid and plasma etching, lift-off, electroplating, and ion-implant. Discusses applications in nanoelectronics, nanomaterials, and nanophotonics.",K. K. Berggren,Nanoelectronics & Nanotechnology,G
6.6630[J],Control of Manufacturing Processes,"2.008 , 6.2600[J] , or 6.3700",G (Fall),3-0-9 units,,See description under subject 2.830[J] .,"D. E. Hardt, D. S. Boning",Nanoelectronics & Nanotechnology,G
6.3000,Signal Processing,6.100A and 18.03,"U (Fall, Spring)",6-0-6 units. REST,,"Fundamentals of signal processing, focusing on the use of Fourier methods to analyze and process signals such as sounds and images. Topics include Fourier series, Fourier transforms, the Discrete Fourier Transform, sampling, convolution, deconvolution, filtering, noise reduction, and compression. Applications draw broadly from areas of contemporary interest with emphasis on both analysis and design.","D. M. Freeman, A. Hartz",Signal Processing,U
6.3010,"Signals, Systems and Inference","6.3000 and ( 6.3700 , 6.3800 , or 18.05 )",U (Spring),4-0-8 units,,"Covers signals, systems and inference in communication, control and signal processing. Topics include input-output and state-space models of linear systems driven by deterministic and random signals; time- and transform-domain representations in discrete and continuous time; and group delay. State feedback and observers. Probabilistic models; stochastic processes, correlation functions, power spectra, spectral factorization. Least-mean square error estimation; Wiener filtering. Hypothesis testing; detection; matched filters.","P. L. Hagelstein, G. C. Verghese",Signal Processing,U
6.3020[J],Fundamentals of Music Processing,6.3000 and 21M.051,U (Fall),3-0-9 units. HASS-A,,See description under subject 21M.387[J] .,E. Egozy,Signal Processing,U
6.7000,Discrete-Time Signal Processing,6.3010,G (Fall),4-0-8 units,,"Representation, analysis, and design of discrete time signals and systems. Decimation, interpolation, and sampling rate conversion. Noise shaping. Flowgraph structures for DT systems. IIR and FIR filter design techniques. Parametric signal modeling, linear prediction, and lattice filters. Discrete Fourier transform, DFT computation, and FFT algorithms. Spectral analysis, time-frequency analysis, relation to filter banks. Multirate signal processing, perfect reconstruction filter banks, and connection to wavelets.","A. V. Oppenheim, J. Ward",Signal Processing,G
6.7010,Digital Image Processing,6.3000 and 6.3700,G (Spring),3-0-9 units,,"Introduces models, theories, and algorithms key to digital image processing. Core topics covered include models of image formation, image processing fundamentals, filtering in the spatial and frequency domains, image transforms, and feature extraction. Additional topics include image enhancement, image restoration and reconstruction, compression of images and videos, visual recognition, and the application of machine learning-based approaches to image processing. Includes student-driven term project.","Y. Rachlin, J. S. Lim",Signal Processing,G
6.7020,Array Processing,6.7000 and ( 2.687 or ( 6.3010 and 18.06 )),Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Fall),3-2-7 units,,"Adaptive and non-adaptive processing of signals received at arrays of sensors. Deterministic beamforming, space-time random processes, optimal and adaptive algorithms, and the sensitivity of algorithm performance to modeling errors and limited data. Methods of improving the robustness of algorithms to modeling errors and limited data are derived. Advanced topics include an introduction to matched field processing and physics-based methods of estimating signal statistics. Homework exercises providing the opportunity to implement and analyze the performance of algorithms in processing data supplied during the course.",J. Bonnel,Signal Processing,G
6.3100,Dynamical System Modeling and Control Design,Physics II (GIR) and ( 18.06 or 18.C06[J] ),"U (Fall, Spring)",4-4-4 units. Institute LAB,,"A learn-by-design introduction to modeling and control of discrete- and continuous-time systems, from intuition-building analytical techniques to more computational and data-centric strategies. Topics include: linear difference/differential equations (natural frequencies, transfer functions); controller metrics (stability, tracking, disturbance rejection); analytical techniques (PID, root-loci, lead-lag, phase margin); computational strategies (state-space, eigen-placement, LQR); and data-centric approaches (state estimation, regression, and identification). Concepts are introduced with lectures and online problems, and then mastered during weekly labs. In lab, students model, design, test, and explain systems and controllers involving sensors, actuators, and a microcontroller (e.g., optimizing thrust-driven positioners or stabilizing magnetic levitators). Students taking graduate version complete additional problems and labs.","K. Chen, J. K. White",Control,U
6.3102,Dynamical System Modeling and Control Design,Physics II (GIR) and ( 18.06 or 18.C06[J] ),"G (Fall, Spring)",4-4-4 units,,"A learn-by-design introduction to modeling and control of discrete- and continuous-time systems, from intuition-building analytical techniques to more computational and data-centric strategies. Topics include: linear difference/differential equations (natural frequencies, transfer functions); controller metrics (stability, tracking, disturbance rejection); analytical techniques (PID, root-loci, lead-lag, phase margin); computational strategies (state-space, eigen-placement, LQR); and data-centric approaches (state estimation, regression and identification). Concepts are introduced with lectures and on-line problems, and then mastered during weekly labs. In lab, students model, design, test and explain systems and controllers involving sensors, actuators, and a microcontroller (e.g. optimizing thrust-driven positioners or stabilizing magnetic levitators). Students in the graduate version complete additional problems and labs.","K. Chen, J. K. White",Control,G
6.7100[J],Dynamic Systems and Control,6.3000 and 18.06,G (Spring),4-0-8 units,,"Linear, discrete- and continuous-time, multi-input-output systems in control, related areas. Least squares and matrix perturbation problems. State-space models, modes, stability, controllability, observability, transfer function matrices, poles and zeros, and minimality. Internal stability of interconnected systems, feedback compensators, state feedback, optimal regulation, observers, and observer-based compensators. Measures of control performance, robustness issues using singular values of transfer functions. Introductory ideas on nonlinear systems. Recommended prerequisite: 6.3100 .","M. A. Dahleh, A. Megretski",Control,G
6.7110,Multivariable Control Systems,6.7100[J] or 16.31,G (Fall) Not offered regularly; consult department,3-0-9 units,,Computer-aided design methodologies for synthesis of multivariable feedback control systems. Performance and robustness trade-offs. Model-based compensators; Q-parameterization; ill-posed optimization problems; dynamic augmentation; linear-quadratic optimization of controllers; H-infinity controller design; Mu-synthesis; model and compensator simplification; nonlinear effects. Computer-aided (MATLAB) design homework using models of physical processes.,A. Megretski,Control,G
6.7120,"Principles of Modeling, Computing and Control for Decarbonized Electric Energy Systems","6.2200 , ( 6.2000 and 6.3100 ), or permission of instructor",U (Fall),4-0-8 units,,"Introduces fundamentals of electric energy systems as complex dynamical network systems. Topics include coordinated and distributed modeling and control methods for efficient and reliable power generation, delivery, and consumption; data-enabled algorithms for integrating clean intermittent resources, storage, and flexible demand, including electric vehicles; examples of network congestion management, frequency, and voltage control in electrical grids at various scales; and design and operation of supporting markets. Students taking graduate version complete additional assignments.",M. Ilic,Control,U
6.7121,"Principles of Modeling, Computing and Control for Decarbonized Electric Energy Systems","6.2200 , ( 6.2000 and 6.3100 ), or permission of instructor",G (Fall),4-0-8 units,,"Introduces fundamentals of electric energy systems as complex dynamical network systems. Topics include coordinated and distributed modeling and control methods for efficient and reliable power generation, delivery, and consumption; data-enabled algorithms for integrating clean intermittent resources, storage, and flexible demand, including electric vehicles; examples of network congestion management, frequency, and voltage control in electrical grids at various scales; and design and operation of supporting markets. Students taking graduate version complete additional assignments.",M. Ilic,Control,G
6.3260[J],Networks,6.3700 or 14.30,U (Spring),4-0-8 units. HASS-S,,See description under subject 14.15[J] .,A. Wolitzky,Optimization & Engineering Mathematics,U
6.7210[J],Introduction to Mathematical Programming,18.06,G (Fall),4-0-8 units,,Introduction to linear optimization and its extensions emphasizing both methodology and the underlying mathematical structures and geometrical ideas. Covers classical theory of linear programming as well as some recent advances in the field. Topics: simplex method; duality theory; sensitivity analysis; network flow problems; decomposition; robust optimization; integer programming; interior point algorithms for linear programming; and introduction to combinatorial optimization and NP-completeness.,"D. Bertsimas, P. Jaillet",Optimization & Engineering Mathematics,G
6.7220[J],Nonlinear Optimization,"18.06 and ( 18.100A , 18.100B , or 18.100Q )",G (Spring),4-0-8 units,,"Unified analytical and computational approach to nonlinear optimization problems. Unconstrained optimization methods include gradient, conjugate direction, Newton, sub-gradient and first-order methods. Constrained optimization methods include feasible directions, projection, interior point methods, and Lagrange multiplier methods. Convex analysis, Lagrangian relaxation, nondifferentiable optimization, and applications in integer programming. Comprehensive treatment of optimality conditions and Lagrange multipliers. Geometric approach to duality theory. Applications drawn from control, communications, machine learning, and resource allocation problems.","R. M. Freund, P. Parrilo, G. Perakis",Optimization & Engineering Mathematics,G
6.7230[J],Algebraic Techniques and Semidefinite Optimization,6.7210[J] or 15.093,Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Spring),3-0-9 units,,"Theory and computational techniques for optimization problems involving polynomial equations and inequalities with particular, emphasis on the connections with semidefinite optimization. Develops algebraic and numerical approaches of general applicability, with a view towards methods that simultaneously incorporate both elements, stressing convexity-based ideas, complexity results, and efficient implementations. Examples from several engineering areas, in particular systems and control applications. Topics include semidefinite programming, resultants/discriminants, hyperbolic polynomials, Groebner bases, quantifier elimination, and sum of squares.",P. Parrilo,Optimization & Engineering Mathematics,G
6.7240,Game Theory with Engineering Applications,6.3702,G (Fall) Not offered regularly; consult department,4-0-8 units,,"Introduction to fundamentals of game theory and mechanism design with motivations for each topic drawn from engineering applications (including distributed control of wireline/wireless communication networks, transportation networks, pricing). Emphasis on the foundations of the theory, mathematical tools, as well as modeling and the equilibrium notion in different environments. Topics include normal form games, supermodular games, dynamic games, repeated games, games with incomplete/imperfect information, mechanism design, cooperative game theory, and network games.",A. Ozdaglar,Optimization & Engineering Mathematics,G
6.7250,Optimization for Machine Learning,6.3900 and 18.06,G (Spring) Not offered regularly; consult department,3-0-9 units,,"Optimization algorithms are central to all of machine learning. Covers a variety of topics in optimization, with a focus on non-convex optimization. Focuses on both classical and cutting-edge results, including foundational topics grounded in convexity, complexity theory of first-order methods, stochastic optimization, as well as recent progress in non-Euclidean optimization, deep learning, and beyond. Prepares students to appreciate a broad spectrum of ideas in OPTML, learning to be not only informed users but also gaining exposure to research questions in the area.",S. Sra,Optimization & Engineering Mathematics,G
6.7260,Network Science and Models,6.3702 and 18.06,G (Spring),3-0-9 units,,"Introduces the main mathematical models used to describe large networks and dynamical processes that evolve on networks. Static models of random graphs, preferential attachment, and other graph evolution models. Epidemic propagation, opinion dynamics, social learning, and inference in networks. Applications drawn from social, economic, natural, and infrastructure networks, as well as networked decision systems such as sensor networks.",P. Jaillet,Optimization & Engineering Mathematics,G
